RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
111,1344,,Enterprise Ω,+4,24,7,77%,31,2023/04/15
112,1344,,LemonMint,+1,17,3,85%,20,2023/04/05
113,1342,,Veyx_,+1,230,135,63%,365,2023/04/17
114,1341,,『BlackBear』,+4,11,2,85%,13,2023/04/11
115,1341,,Adadis,+5,69,45,61%,114,2023/04/12
116,1339,,Tassos117,+15,45,22,67%,67,2023/04/11
117,1339,,NANAMI,+2,42,18,70%,60,2023/04/07
118,1338,,Niklas,+3,11,1,92%,12,2023/04/08
119,1338,,Finndeed,+2,20,7,74%,27,2023/04/05
120,1335,,Zenabauer,+5,34,18,65%,52,2023/04/11
121,1335,,Cheezus,+1,140,82,63%,222,2023/04/14
122,1335,,76561197972578478,+1,42,19,69%,61,2023/04/17
123,1335,,Sunny,+4,11,1,92%,12,2023/04/10
124,1334,,normad,+3,24,8,75%,32,2023/04/09
125,1333,,El Dorado,-2,83,51,62%,134,2023/04/15
126,1333,,DarkAlric,+4,64,38,63%,102,2023/04/17
127,1331,,Johnny 99,+3,32,12,73%,44,2023/04/15
128,1331,,SMOKO,+10,10,0,100%,10,2023/03/22
129,1329,,DumbassTV,+1,10,1,91%,11,2023/04/12
130,1327,,Toiletguy,-1,13,1,93%,14,2023/03/29
131,1327,,pidzi,+5,66,37,64%,103,2023/04/17
132,1326,,NickDaTrojan,+1,40,16,71%,56,2023/04/17
133,1326,,sam,+3,27,12,69%,39,2023/03/28
134,1325,,ciamgyic,+2,250,182,58%,432,2023/04/11
135,1325,,Snitch,-1,33,9,79%,42,2023/04/10
136,1325,,Vector,-2,9,2,82%,11,2023/04/17
137,1325,,Ondross,+5,10,1,91%,11,2023/03/24
138,1325,,7pUpU,+2,102,66,61%,168,2023/04/17
139,1323,,bigfriendlybert,+1,17,6,74%,23,2023/04/01
140,1323,,Lazy Ren,-2,11,2,85%,13,2023/03/22
141,1321,,Luvnest,-1,29,13,69%,42,2023/04/12
142,1321,,ъסּסּⁿ»Stoffa,+3,111,69,62%,180,2023/04/17
143,1320,,Souless and Heartless Monkey Man,-1,44,26,63%,70,2023/04/08
144,1319,,Watson,+2,46,29,61%,75,2023/04/17
145,1319,,.Hesko.,-1,85,45,65%,130,2023/04/16
146,1318,,Herr Blautier,+1,119,73,62%,192,2023/04/16
147,1318,,KyrreLubiWodę,+10,24,11,69%,35,2023/04/11
148,1318,,a hell on earth,-1,27,13,68%,40,2023/04/09
149,1317,,TRI1091,-1,27,13,68%,40,2023/03/24
150,1316,,Authoritarrr,+2,24,11,69%,35,2023/04/08
151,1316,,SturmTigerGiap,+2,69,30,70%,99,2023/03/31
152,1312,,eMBeLeS,+1,15,3,83%,18,2023/04/03
153,1312,,Elisabeth Eugenie,+3,61,29,68%,90,2023/03/27
154,1308,,Dugo,+1,21,9,70%,30,2023/04/14
155,1308,,Triggler,+2,19,7,73%,26,2023/04/05
156,1308,,rahcesene,+2,11,2,85%,13,2023/03/21
157,1308,,白起,-2,33,10,77%,43,2023/04/02
158,1307,,Logys P,-1,18,6,75%,24,2023/04/13
159,1307,,Vesat Eiwalter,+4,77,63,55%,140,2023/04/09
160,1307,,VonAsten,-1,10,2,83%,12,2023/04/13
161,1307,,Tuta,+3,37,14,73%,51,2023/04/15
162,1305,,RyuJou,-1,15,5,75%,20,2023/04/11
163,1304,,Refero,+5,9,1,90%,10,2023/04/10
164,1304,,Vector,+1,17,7,71%,24,2023/04/15
165,1303,,TwistedTootsy,+5,32,17,65%,49,2023/04/13
166,1303,,swdertfht,+5,12,3,80%,15,2023/04/14
167,1303,,OHxYEAHxJNP,+3,28,14,67%,42,2023/04/14
