RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
1252,1028,,kaigem43,+1,38,35,52%,73,2023/04/10
1253,1028,,Hemera.Helio,-2,6,7,46%,13,2023/03/24
1254,1028,,zyk1999,+2,37,32,54%,69,2023/04/16
1255,1027,,Aurora,+2,27,23,54%,50,2023/04/17
1256,1027,,iBaker,-2,24,25,49%,49,2023/04/16
1257,1027,,"Butts, Butts Everywhere",-1,43,38,53%,81,2023/04/14
1258,1027,,WC206,-3,9,11,45%,20,2023/04/15
1259,1027,,xuliang16879,+2,13,12,52%,25,2023/03/22
1260,1027,,Octavius Rex,+1,26,29,47%,55,2023/04/12
1261,1027,,M A L,+4,77,80,49%,157,2023/04/17
1262,1026,,Dreamerpython,+2,11,12,48%,23,2023/03/29
1263,1026,,Humiyuppie,+2,8,6,57%,14,2023/04/12
1264,1026,,Al_Ka_Pwn,-2,118,124,49%,242,2023/04/09
1265,1026,,vallinoranor,-4,5,5,50%,10,2023/04/06
1266,1025,,kotxebomba007,-2,7,7,50%,14,2023/04/17
1267,1025,,Bobblehead,+4,32,30,52%,62,2023/04/15
1268,1025,,Mini_Munchkin,-4,6,8,43%,14,2023/04/17
1269,1025,,Stringular,-4,15,19,44%,34,2023/04/09
1270,1025,,Fidel Cashflow,-2,19,15,56%,34,2023/04/13
1271,1024,,Psychotron,+3,28,34,45%,62,2023/04/17
1272,1024,,IxEuphoricxI,+4,6,4,60%,10,2023/04/16
1273,1024,,NSFW ` Sweaty AF,-1,8,10,44%,18,2023/04/06
1274,1024,,john.voyage,-1,13,14,48%,27,2023/04/07
1275,1024,,Clavius,-3,6,6,50%,12,2023/04/06
1276,1023,,BrawkSolid,-1,6,5,55%,11,2023/04/07
1277,1023,,pyromaniac,-2,8,9,47%,17,2023/04/05
1278,1023,,Smartie,-2,7,8,47%,15,2023/04/16
1279,1023,,Kewell_xu,+2,38,38,50%,76,2023/04/15
1280,1023,,FuelTank,-2,30,29,51%,59,2023/04/15
1281,1022,,jc5776,+2,16,14,53%,30,2023/04/12
1282,1022,,Luipaard,+3,13,10,57%,23,2023/04/05
1283,1022,,Tango,+1,17,18,49%,35,2023/04/03
1284,1022,,hanzelwaffen,+1,5,5,50%,10,2023/04/16
1285,1022,,Quasar,-1,18,15,55%,33,2023/04/12
1286,1022,,Dur3X,-1,10,8,56%,18,2023/04/10
1287,1021,,Jono,-3,7,10,41%,17,2023/04/17
1288,1021,,0olong,+3,7,7,50%,14,2023/04/03
1289,1021,,Bullenspitzel,-4,9,9,50%,18,2023/04/17
1290,1021,,nippy,-3,10,9,53%,19,2023/04/13
1291,1021,,sprexnico,-4,6,9,40%,15,2023/04/15
1292,1020,,Soppe S,+1,6,6,50%,12,2023/04/17
1293,1020,,gunruth234,+3,5,5,50%,10,2023/04/04
1294,1020,,Makrellen,+1,17,18,49%,35,2023/04/05
1295,1020,,Mister A.K.,-3,61,66,48%,127,2023/04/13
1296,1020,,Fantyx,-1,8,7,53%,15,2023/03/31
1297,1020,,KampfLachs,+1,25,28,47%,53,2023/04/17
1298,1020,,chris nos,+3,15,15,50%,30,2023/04/17
1299,1020,,holzbeinmanu,-1,6,5,55%,11,2023/04/06
1300,1020,,bugs bunny,+1,10,9,53%,19,2023/03/29
1301,1019,,Old Rebel,+1,18,18,50%,36,2023/03/31
1302,1019,,BluePiglet,+3,18,17,51%,35,2023/03/22
1303,1019,,Atet,-2,5,5,50%,10,2023/03/22
1304,1019,,MattJeburt,+1,10,10,50%,20,2023/04/04
1305,1019,,Gotthirsch,-2,7,9,44%,16,2023/04/10
1306,1019,,Mister Ju-Ju,-2,5,6,45%,11,2023/04/13
1307,1019,,RogueTrooper34,-4,16,17,48%,33,2023/04/06
1308,1018,,Kamikaze-Kurt,+1,11,9,55%,20,2023/04/06
1309,1018,,Ameer.Warrak,-1,8,6,57%,14,2023/04/17
1310,1018,,TRx,-1,66,77,46%,143,2023/04/13
1311,1018,,Ic3 4Z4D,-1,36,43,46%,79,2023/04/15
1312,1018,,GilGalad,-2,5,5,50%,10,2023/03/31
1313,1018,,perplexer,-2,35,33,51%,68,2023/04/16
1314,1018,,Longinus69,-3,15,10,60%,25,2023/04/04
1315,1018,,aurri,-2,10,8,56%,18,2023/04/10
1316,1018,,pellec,-1,12,11,52%,23,2023/04/11
1317,1017,,Professor,-1,6,5,55%,11,2023/04/06
1318,1017,,StyX,-3,5,5,50%,10,2023/03/24
1319,1017,,patteon,-1,23,25,48%,48,2023/04/03
1320,1016,,goldngoy,+1,7,6,54%,13,2023/04/04
1321,1016,,help,+1,6,6,50%,12,2023/03/23
1322,1016,,Hupsaiya,-2,19,19,50%,38,2023/04/10
1323,1015,,Insky,+2,6,5,55%,11,2023/04/10
1324,1015,,Vaits,-1,8,7,53%,15,2023/04/10
1325,1015,,Commissar500,-1,6,7,46%,13,2023/04/17
1326,1015,,Teelicht,-3,10,14,42%,24,2023/04/15
1327,1015,,Pero,+2,7,6,54%,13,2023/04/11
1328,1015,,EastHawk,-5,70,73,49%,143,2023/04/18
1329,1015,,XrusTim,+1,42,40,51%,82,2023/04/17
1330,1014,,snekasan,-5,18,22,45%,40,2023/04/17
1331,1014,,Ace D. Brokenwing,+2,6,6,50%,12,2023/04/12
1332,1014,,OldRacoon,+2,28,28,50%,56,2023/04/04
1333,1014,,Vokka,+2,4,6,40%,10,2023/04/01
1334,1014,,thaNästy,+3,23,22,51%,45,2023/04/02
1335,1014,,MR.DOGO-YT,-2,14,13,52%,27,2023/04/17
1336,1014,,Diesel,-5,28,29,49%,57,2023/04/17
1337,1014,,JellyMarine,+1,18,17,51%,35,2023/03/26
1338,1013,,Hulkster,-3,5,6,45%,11,2023/04/08
1339,1013,,DogGod,+1,15,22,41%,37,2023/03/29
1340,1013,,Bland Unicorn,-3,12,13,48%,25,2023/03/27
1341,1013,,D3kay,-1,76,76,50%,152,2023/04/12
1342,1013,,Armitron130,-1,16,14,53%,30,2023/03/25
1343,1013,,Consider the Coconut,-1,7,7,50%,14,2023/04/17
1344,1013,,Ferdie,-1,25,26,49%,51,2023/04/14
1345,1012,,Genius Malignus,+1,8,10,44%,18,2023/04/10
1346,1012,,Pastor Pres,+2,30,25,55%,55,2023/04/18
1347,1012,,AlphaOmega,-3,7,6,54%,13,2023/04/06
1348,1012,,Pjot,-4,11,12,48%,23,2023/04/15
1349,1012,,MonKeY,-2,15,14,52%,29,2023/04/16
1350,1012,,SlapInferno,-1,5,5,50%,10,2023/04/03
1351,1012,,MO,+4,19,18,51%,37,2023/04/02
1352,1012,,Berkilius,-3,10,12,45%,22,2023/04/17
1353,1012,,profpwn,+2,6,6,50%,12,2023/04/06
1354,1012,,birdhouse,+1,10,10,50%,20,2023/04/01
1355,1012,,Neuromancer,+1,10,9,53%,19,2023/04/15
1356,1012,,Chuggz,-1,12,14,46%,26,2023/03/30
1357,1012,,MrBust,+1,15,16,48%,31,2023/04/04
1358,1011,,Don Bowdenoli,+1,5,6,45%,11,2023/04/16
1359,1011,,Werido,+1,10,12,45%,22,2023/03/24
1360,1011,,Gefreiter Reiter,+4,13,10,57%,23,2023/04/09
1361,1011,,GvardiA,+2,57,61,48%,118,2023/04/17
1362,1011,,zwiggum,-1,6,6,50%,12,2023/04/17
1363,1011,,Thunder Strike,+2,6,5,55%,11,2023/04/09
1364,1011,,Gator,-1,6,5,55%,11,2023/04/09
1365,1011,,Mars,-2,8,8,50%,16,2023/04/07
1366,1011,,Robin Fjodorov,+1,8,8,50%,16,2023/04/08
1367,1010,,(⊙o⊙)…,+1,28,28,50%,56,2023/04/15
1368,1010,,HeldohneNamen,-1,8,8,50%,16,2023/04/06
1369,1010,,ˇ7ˇ*Romel-Panzer-Division*,+1,9,10,47%,19,2023/04/05
1370,1010,,Silverstatic,-1,13,11,54%,24,2023/03/23
1371,1010,,Imagodei,+4,11,9,55%,20,2023/04/14
1372,1010,,testing,+4,20,21,49%,41,2023/04/10
1373,1010,,sorlov,+1,6,6,50%,12,2023/04/08
1374,1010,,[DLB] Wolfen,-2,32,34,48%,66,2023/04/01
1375,1009,,88jpmm,+3,48,50,49%,98,2023/04/10
1376,1009,,m.walinski,-1,16,18,47%,34,2023/03/24
1377,1009,,ThatTwix,-1,13,13,50%,26,2023/03/21
1378,1009,,TumulousBread73,-1,27,21,56%,48,2023/04/17
1379,1009,,BugSplat,-1,7,7,50%,14,2023/04/14
1380,1009,,XQC,+2,10,11,48%,21,2023/04/12
1381,1008,,Cynec,+5,10,7,59%,17,2023/03/30
1382,1008,,Dunce Gollum,-2,15,15,50%,30,2023/04/16
1383,1008,,Maverick_1404,+1,7,7,50%,14,2023/04/06
1384,1008,,JINGER,-1,17,19,47%,36,2023/04/09
1385,1008,,ryuklikesapples,-1,8,8,50%,16,2023/03/28
1386,1008,,ロム Ram & Rom ラム,+2,6,6,50%,12,2023/04/09
1387,1008,,Deathmatch,+3,25,23,52%,48,2023/04/10
1388,1008,,Leonel,-1,13,11,54%,24,2023/04/15
1389,1008,,NachoVidanal,+2,46,48,49%,94,2023/03/27
1390,1008,,Capt.Photon,+1,7,7,50%,14,2023/04/16
